#	Runner	Time	Race	Age	Gender	Nationality
407	 BARTH Thierry	84:06:08	31	M	 FRA
408	 SANZ LAZARO Roberto	84:06:17	34	M	 ESP
409	 THINE Claude	84:07:03	53	M	 FRA
410	 CLERC Jerome	84:07:16	41	M	 FRA
411	 prosperi Giuseppe	84:13:13	47	M	 ITA
412	 LIN Haidan	84:17:07	39	M	 CHN
413	 STOCCHI Paolo	84:17:33	46	M	 ITA
414	 SOLDA Simone	84:22:16	32	M	 ITA
415	 pu gewen	84:23:53	41	M	 CHN
416	 YANG Xiao Bo	84:24:20	33	M	 CHN
417	 Chiavazza Diego	84:24:56	41	M	 ITA
418	 facchinetti Flavio	84:40:37	50	M	 ITA
419	 LEPRI Marco	84:43:37	50	M	 ITA
420	 colabello Luigi	85:10:34	51	M	 ITA
421	 KAPINAOEIK Ivan	85:10:56	46	M	 LTU
422	 Saintviteux Michael	85:11:40	42	M	 BEL
423	 RAMELLO Marco	85:16:30	32	M	 ITA
424	 SUTTER Eric	85:23:48	42	M	 FRA
425	 DE GUIO Filippo	85:28:54	35	M	 ITA
426	 GALLI Augusto	85:33:49	67	M	 ITA
427	 GHIRELLI Eugenio	85:33:58	39	M	 ITA
428	 CAMBIASO Emanuele	85:35:07	53	M	 ITA
429	 FRANCESCHINIS Mirko	85:37:51	42	M	 ITA
430	 MEDICI Andrea	85:40:32	46	M	 ITA
431	 PATROCLE Stefano	85:40:56	53	M	 ITA
432	 FURUYA Keijiro	85:41:04	35	M	 JPN
433	 SACANNA Massimo	85:41:26	39	M	 ITA
434	 SAINT EVE Jean Bernard	85:46:25	52	M	 FRA
435	 SCHERZER Stefan	85:48:28	53	M	 GER
436	 Marta Massimiliano	85:49:10	51	M	 ITA
437	 TAISSON Sandrine	85:51:00	45	F	 FRA
438	 FISCHER Marc	85:55:36	52	M	 SUI
439	 PITTI Roberto	86:09:32	45	M	 ITA
440	 BRUNA Andrea	86:09:47	34	M	 ITA
441	 COLOMBO Mauro	86:09:57	51	M	 ITA
442	 SWEENEY Holley	86:13:07	33	F	 USA
443	 SWEENEY Kevin	86:13:20	34	M	 USA
444	 BELLOT Emanuele Ottaviano	86:15:27	47	M	 ITA
445	 LUBOZ Attilio	86:17:05	57	M	 ITA
446	 SCARPELLINI Davide	86:18:00	25	M	 ITA
447	 HORI Akihiro	86:20:51	64	M	 JPN
448	 BOSIO Claudine	86:28:09	58	F	 FRA
449	 TANAKA Tarou	86:28:19	41	M	 JPN
450	 RENARD Gaetan	86:30:19	35	M	 FRA
451	 MORAY Francoise	86:32:42	51	F	 BEL
452	 HENNUS Luc	86:32:49	54	M	 BEL
453	 ILHWAN Wi	86:33:01	26	M	 KOR
454	 BIZOT Claude	86:35:26	48	M	 FRA
455	 KOCHA Katsumi	86:44:19	51	M	 JPN
456	 HANNES Schnitzer	86:44:33	43	M	 AUT
457	 PICA Massimo	86:48:00	54	M	 ITA
458	 ascoli Alessandro	86:50:54	33	M	 ITA
459	 PERIN Sara	86:58:40	38	F	 ITA
460	 AUSSAVIS Francois	86:59:11	54	M	 FRA
461	 DI GIANNANTONIO Gianluca	87:00:27	48	M	 ITA
462	 TROIANO Donato	87:06:41	38	M	 ITA
463	 MOMBELLO Cesare	87:20:13	53	M	 ITA
464	 MARCHETTI Anna	87:21:29	54	F	 ITA
465	 JACCOND Ermando Ivan	87:54:44	47	M	 ITA
466	 PLAT Andrea	87:55:18	51	M	 ITA
467	 GONNELLI Roberto	87:55:52	36	M	 ITA
468	 BRAUN Max	87:56:36	52	M	 FRA
469	 MARTYNEK Ivan	87:57:51	43	M	 SVK
470	 BOSSEN Erik	87:58:03	49	M	 DEN
471	 EFTHIMIADIS Giorgos	88:00:09	48	M	 GRE
472	 PAINIGRA Jacques	88:00:20	56	M	 FRA
473	 CELAL Devrim	88:14:02	45	M	 CYP
474	 VICQUERY Laurent	88:28:23	41	M	 ITA
